# name   Log MBH    Log L/Ledd
SDSS J073733+392037     9.98          +0.12 
IRAS 07598+6508              8.58           -0.68 
PG 0946+301                      9.28          -0.89 
PG 1001+054                      7.43          +0.00 
PG 1004+130                      9.27          -1.13 
PG 1115+080                      9.31          +0.96 
Mkn 231                               8.78          -1.96 
IRAS 14026+4341               8.62          -0.61 
SDSS 1437-0147                 9.43          +0.51 
PG 1700+518                      8.53          -0.25  
PG 2112+059                      8.07          +0.56
