#Object Name	log L2500a	log L2–10b	log L2 keVc	Δlog L2 keVd	log f2–8e	Δlog f2–8f	αoxg	h
#ObjectName      l2500   l2-10   l2kev   deltal2 f2-8    deltaf  alpha_ox error  deltaalphaox
IRAS07598+6508	30.48	41.87	24.18	−2.26	−14.01	−2.53	-2.42  0.06	−0.85
PG0946+301		31.68	44.74	25.42	−1.86	−12.99	−0.23	-2.40  0.08	−0.66
PG1001+054		29.69	42.34	24.22	−1.65	−13.81	−1.70	-2.10  0.07	−0.64
PG1004+130		30.58	43.82	25.61	−0.89	−12.50	−0.62	-1.91  0.05	−0.32
Q1246−057		32.10	44.94	26.65	−0.93	−13.55	−0.46	-2.09  0.05	−0.29
Mrk231			29.04	42.36	24.08	−1.33	−12.36	−1.02	-1.90  0.04	−0.53
IRAS14026+4341	30.50	42.78	24.80	−1.65	−13.83	−1.61	-2.19  0.10	−0.62
CSO755			32.32	45.88	27.63	−0.11	−12.94	0.25	-1.80  0.05	0.02
SBS1542+541		31.94	45.51	27.32	−0.15	−13.06	0.21	-1.77  0.05	−0.00
PG1700+518		30.77	42.48	24.48	−2.16	−14.03	−2.11	-2.42  0.06	−0.80
PG2112+059		31.29	43.99	25.40	−1.61	−13.02	−0.99	-2.26  0.04	−0.57
