1257	399	03 32 32.28	-28 03 28.2	1.231	-28.19	29.40	-31.51	26.08	-1.27	1.49	<3.20
1731	678	03 33 22.85	-28 03 12.9	1.499	-28.47	29.29	-32.20	25.56	-1.43	2.04	<5.79
2006	397	03 32 32.00	-28 03 09.9	1.966	-27.37	30.60	-31.12	26.85	-1.44	1.56	<0.43
4050	357	03 32 20.31	-28 02 14.7	1.635	-27.80	30.03	-31.53	26.29	-1.43	1.89	<1.17
4809	99	03 31 36.25	-28 01 49.6	1.988	-28.31	29.67	-31.72	26.26	-1.31	1.79	<3.51
4995	234	03 31 56.88	-28 01 49.1	1.412	-28.50	29.21	-32.39	25.31	-1.49	1.87	<5.65
5498	630	03 33 16.07	-28 01 31.3	2.075	-28.45	29.56	-31.97	26.04	-1.35	1.62	<7.22
6735	566	03 33 06.26	-28 00 55.5	2.444	-28.32	29.82	-31.99	26.14	-1.41	1.89	<3.91
6817	53	03 31 27.79	-28 00 51.0	1.988	-28.04	29.94	-31.96	26.02	-1.51	1.49	<2.33
7570	\ldots	03 33 08.03	-28 00 30.8	3.583	-27.44	30.97	<-32.81	<25.60	<-2.06	\ldots	<4.18
7671	198	03 31 51.80	-28 00 25.7	2.436	-28.44	29.69	-31.97	26.17	-1.35	1.94	<4.47
11818	\ldots	03 32 55.98	-27 58 45.3	4.021	-28.26	30.23	<-33.47	<25.53	<-1.80	\ldots	<36.14
11922	587	03 33 09.11	-27 58 26.6	2.539	-28.33	29.84	-32.02	26.45	-1.30	1.42	<6.67
11941	699	03 33 26.24	-27 58 29.7	2.172	-27.74	30.30	-31.39	26.46	-1.48	2.12	<1.07
12325	541	03 33 01.70	-27 58 18.8	1.843	-27.64	30.28	-31.17	26.66	-1.39	1.51	<0.66
13332	600	03 33 10.63	-27 57 48.5	1.602	-27.99	29.82	-31.53	26.19	-1.39	1.97	<2.11
15396	343	03 32 16.13	-27 56 44.1	2.682	-28.39	29.81	-32.68	25.64	-1.60	1.33	<6.72
15731	711	03 33 28.93	-27 56 41.1	0.835	-27.65	29.61	-30.82	26.29	-1.28	1.82	<0.78
16621	595	03 33 09.70	-27 56 13.9	2.540	-27.47	30.69	-32.05	26.44	-1.63	1.80	<0.60
17229	\ldots	03 32 22.57	-27 55 54.4	2.870	-28.54	29.71	<-33.20	<25.07	<-1.78	\ldots	<14.68
18256	677	03 33 22.79	-27 55 23.7	1.647	-27.78	30.05	-31.93	26.06	-1.53	2.01	<1.14
18324	531	03 33 00.77	-27 55 20.6	1.990	-28.43	29.55	-31.43	26.47	-1.18	2.23	<6.82
19965	154	03 31 45.20	-27 54 35.6	0.634	-27.51	29.51	-31.22	25.47	-1.55	1.92	<0.55
25042	434	03 32 41.85	-27 52 02.4	3.610	-28.08	30.34	-32.02	26.48	-1.48	1.43	<12.09
25884	95	03 31 35.77	-27 51 34.7	1.630	-28.14	29.68	-31.43	26.39	-1.26	1.67	<3.61
30792	440	03 32 43.24	-27 49 14.1	0.743	-28.60	28.56	-31.79	25.14	-1.31	1.66	<5.72
33069	308	03 32 09.45	-27 48 06.7	2.810	-27.53	30.71	-32.23	26.04	-1.79	0.82	<1.41
33630	119	03 31 40.12	-27 47 46.4	2.719	-28.32	29.90	-31.99	26.23	-1.41	1.59	<3.72
33644	525	03 32 59.85	-27 47 48.2	2.538	-28.15	30.02	-31.74	26.76	-1.25	1.71	<2.35
34357	304	03 32 08.67	-27 47 34.2	0.543	-27.33	29.55	-30.55	25.89	-1.40	1.73	13.89
36120	180	03 31 49.41	-27 46 34.0	2.306	-28.35	29.74	-32.09	25.85	-1.49	1.42	<5.10
37487	422	03 32 39.08	-27 46 01.8	1.216	-27.86	29.73	-32.68	25.01	-1.81	1.07	<1.25
38551	390	03 32 29.98	-27 45 29.8	1.221	-28.03	29.56	-31.53	26.00	-1.37	1.66	<1.88
38905	549	03 33 03.62	-27 45 18.7	1.264	-28.71	28.90	-32.05	25.66	-1.25	1.55	<11.94
39432	393	03 32 30.22	-27 45 04.5	0.735	-28.52	28.63	-31.85	25.33	-1.27	1.88	<4.83
42601	515	03 32 59.07	-27 43 39.5	0.510	-27.98	28.85	-31.52	24.90	-1.51	1.67	<3.60
43151	249	03 32 00.36	-27 43 19.5	1.037	-28.42	29.03	-31.70	25.48	-1.36	1.54	<4.70
44126	583	03 33 08.78	-27 42 54.4	0.729	-28.91	28.23	-31.78	25.06	-1.22	1.74	<11.20
47615	191	03 31 50.96	-27 41 15.7	0.649	-28.52	28.52	-31.96	25.11	-1.31	1.79	<5.92
48284	378	03 32 27.01	-27 41 04.9	0.734	-27.16	29.99	-30.61	26.25	-1.43	1.79	5.59
48870	712	03 33 28.94	-27 40 43.7	2.146	-28.46	29.57	-31.68	26.66	-1.12	1.61	<5.64
49298	374	03 32 26.49	-27 40 35.5	1.031	-27.52	29.93	-31.37	26.03	-1.49	2.08	<0.61
50415	412	03 32 37.45	-27 40 00.1	0.666	-28.89	28.17	-32.21	24.73	-1.32	1.83	<11.25
50997	416	03 32 38.12	-27 39 44.8	0.837	-27.71	29.55	-31.38	25.90	-1.40	2.05	<0.92
51835	118	03 31 40.05	-27 39 17.6	2.179	-28.60	29.45	-32.51	25.63	-1.47	1.50	<7.73
